Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
7/27/21,30,Alabama,5015500,281300,2309960,2424240,0,102291,119791,131472,590172,3534356,3534034,3431554,1216240,118724,1625165,1790463,4,90359,48007,32668,9684,55026,28449,20493,6084,72083,84407,89952,143115,3636577,2073358,42.3,2073033,49.5,2006793,52.6,682905,80.4,1672423,34.1,1672385,39.9,1634263,42.8,588862,69.3,121523,740066,810655,179,121517,740055,810634,179,121461,739796,772827,179,31781,311019,245949,113,35859,19862,12295,3702
7/27/21,30,Alaska,849465,59300,365380,424785,0,116119,139513,154011,927485,693657,691583,651015,142767,27987,288298,377194,178,6636,2078,1374,3184,4296,1383,952,1961,94821,113583,118031,155880,688389,374281,51.2,373002,61.3,350309,63.5,75663,82.6,331567,45.3,330774,54.3,312888,56.7,71263,77.8,25970,133561,171992,44,25968,133557,171205,44,25846,133193,153808,41,2593,40089,28559,22,2320,676,425,1219
7/27/21,30,American Samoa,54930,600,15600,38730,0,98637,115504,126640,582132,51247,51237,46387,5114,541,12581,38125,0,0,0,0,0,0,0,0,0,92024,107738,106944,54197,51516,28496,51.2,28488,59.9,25389,58.5,2734,29,23405,42,23403,49.2,21657,49.9,2478,26.3,546,5719,17140,0,546,5718,17139,0,545,5706,15406,0,25,1008,1445,0,0,0,0,0
7/27/21,30,Arizona,8438340,431000,3511240,4496100,0,115932,135969,149656,644821,7046449,7045601,6666055,2142139,252835,2967453,3817780,8381,126310,60953,41376,23981,77168,34448,24259,18461,96809,113528,118224,163693,6925162,3827054,52.6,3826288,61.7,3616226,64.1,1122018,85.7,3275902,45,3275568,52.8,3115000,55.2,971900,74.3,243950,1317653,1711560,2739,243720,1317632,1711477,2739,243598,1317224,1551461,2717,41968,480562,447868,1502,48774,26227,16881,5666
7/27/21,30,Arkansas,2959090,178900,1351620,1428570,0,98054,115714,127676,564839,2400798,2395787,2294855,759048,83635,1104419,1212087,657,29100,8008,3974,17118,17639,4248,2151,11240,79554,93686,99017,144889,2406182,1380254,45.7,1376616,53.8,1314016,56.7,417510,79.7,1087284,36,1085853,42.5,1047260,45.2,350552,66.9,81792,489732,515581,179,81679,489726,514270,178,81338,488746,477010,166,12696,202476,135280,100,11554,3740,1819,5995
7/27/21,30,California,50595215,2615800,20573020,27406395,0,128050,150374,165249,866636,44761604,44634386,41845457,9984519,1648869,17888089,25216335,8311,842533,391994,369224,81315,476783,217072,205135,54576,113285,132658,136671,171023,44756823,25372076,64.2,25293445,75.2,23729730,77.5,5570709,95.4,20720246,52.4,20671918,61.4,19443372,63.5,4479957,76.7,1633645,7914957,11169086,2558,1633331,7914541,11121494,2552,1626461,7890223,9924305,2383,164821,2286644,2027596,896,360473,171762,161501,27210
7/27/21,30,Colorado,7196575,340300,2957400,3898875,0,124968,145796,159952,854282,6429260,6409515,6015600,1431890,231658,2644769,3549035,3798,129904,54815,42980,32109,78049,31776,25737,20536,111644,129851,133703,169975,6404865,3446952,59.9,3435268,69.6,3220920,71.6,744189,88.3,3115137,54.1,3107210,62.9,2927851,65.1,678018,80.5,227810,1239443,1646702,1182,227789,1239430,1638809,1182,226708,1235895,1464095,1153,20985,334680,321966,387,51651,22692,17067,11892
7/27/21,30,Connecticut,4894665,250000,1996160,2648505,0,137287,157590,172478,776630,4564902,4563275,4263767,1168142,183742,1745188,2635351,621,133342,63883,51786,17673,74529,34491,28065,11973,128037,146921,150247,185348,4564991,2473486,69.4,2472229,79.6,2310886,81.4,605005,96,2245059,63,2244614,72.3,2111133,74.4,566940,90,183016,827955,1233879,209,182940,827752,1233713,209,182868,827587,1100507,171,18684,224107,324099,50,58510,29015,23460,6035
7/27/21,30,Delaware,1321445,65800,545800,709845,0,135705,157351,171573,699525,1082568,1082376,1022749,337495,46862,429324,605649,733,36376,11828,8622,15926,24030,6600,5143,12287,111174,128884,132791,178658,1057906,586651,60.2,586491,69.8,555652,72.1,178230,94.3,510337,52.4,510296,60.8,485457,63,159246,84.3,45980,192463,271571,323,45972,192459,271542,323,45944,192364,246826,323,8790,65776,84501,179,12186,5069,3419,3698
7/27/21,30,Florida,25813915,1694500,10485300,13634115,0,120189,138072,149665,573982,22293219,22284883,21404087,7998762,1095241,8754802,12381320,61856,405712,209062,119371,77279,230823,117801,67821,45201,103797,119196,124097,177856,21995500,12210846,56.9,12203249,65.3,11695148,67.8,4104011,91.3,10422399,48.5,10420915,55.7,10063241,58.3,3593990,79.9,1077159,3875800,5449612,19828,1076424,3875202,5449461,19828,1075889,3874677,5092902,19773,184080,1766920,1630022,12968,174283,89729,50699,33855
